icao24,origin_country,velocity,on_ground
c07d0b,Canada,30.88,False
ab1644,United States,227.39,False
a09281,United States,56.68,False
ac494e,United States,69.53,False
a3feec,United States,195.51,False
a3688d,United States,40.85,False
39de4c,France,201.84,False
39de57,France,242.99,False
a77ec5,United States,143.32,False
407a38,United Kingdom,164.13,False
a5953a,United States,8.75,False
39de50,France,180.86,False
a4d86a,United States,225.56,False
80163c,India,164.23,False
a4b20f,United States,89.24,False
a0928e,United States,5.4,True
ac4963,United States,138.48,False
aa3cb4,United States,58.25,False
c81bcc,New Zealand,36.1,False
ac2308,United States,132.14,False
a41ee6,United States,239.94,False
a36880,United States,83.75,False
80160b,India,142.55,False
801619,India,208.53,False
80160e,India,235.92,False
aa0967,United States,0.19,True
a41eca,United States,41.68,False
a6053c,United States,53.75,False
a97808,United States,89.49,False
ae1fb7,United States,46.23,False
c07d1a,Canada,123.29,False
ad5622,United States,165.0,False
c047d8,Canada,51.88,False
a23578,United States,55.73,False
a27bd5,United States,41.75,False
adffa8,United States,217.72,False
a0e250,United States,2.83,True
39de46,France,231.3,False
407a05,United Kingdom,211.64,False
39de48,France,198.97,False
a0e23b,United States,55.34,False
a1abbe,United States,25.72,False
a2ded8,United States,134.7,False
39de49,France,245.26,False
ac2328,United States,183.15,False
39de42,France,217.47,False
39de41,France,156.7,False
c047cf,Canada,58.93,False
44028c,Austria,253.39,False
a2228b,United States,281.4,False
ac232e,United States,219.11,False
a9b3f9,United States,247.04,False
801689,India,212.52,False
ab034d,United States,248.4,False
4bc8c7,Turkey,230.35,False
4bc8c4,Turkey,64.19,False
4bc8c2,Turkey,232.57,False
ab0361,United States,260.28,False
4bc8c1,Turkey,66.49,False
a61836,United States,136.76,False
a710fe,United States,55.3,False
801694,India,239.16,False
a3426d,United States,74.32,False
ad563d,United States,238.19,False
aae34c,United States,195.27,False
ad4326,United States,77.74,False
4bc8d5,Turkey,259.91,False
4bc8d6,Turkey,226.61,False
4bc8d2,Turkey,189.45,False
a963f7,United States,208.57,False
80164e,India,146.61,False
471efa,Hungary,236.21,False
3d7f7a,Germany,128.62,False
471efb,Hungary,128.24,False
acdffc,United States,7.72,True
47b217,Norway,253.94,False
a3a538,United States,0.0,True
a950c9,United States,188.8,False
471eff,Hungary,235.96,False
471efc,Hungary,243.93,False
801661,India,71.52,False
ac3688,United States,190.01,False
ad3006,United States,199.82,False
a72506,United States,46.62,False
44029f,Austria,213.86,False
e8026e,Chile,219.27,False
a40be9,United States,84.8,False
e8026c,Chile,257.9,False
a3689e,United States,91.9,False
a3557b,United States,86.29,False
abf025,United States,250.0,False
aa0911,United States,86.07,False
ae630c,United States,175.93,False
0d11c0,Mexico,211.59,False
3455da,Spain,58.92,False
a5d270,United States,41.81,False
a9522d,United States,2.06,True
a7258b,United States,189.21,False
abad94,United States,132.43,False
a114a4,United States,61.32,False
4acb42,Sweden,251.86,False
a4b294,United States,8.23,True
a02a0d,United States,46.44,False
a7bbe9,United States,87.51,False
adda24,United States,247.39,False
adda23,United States,142.71,False
4bb5d6,Turkey,248.85,False
3455d8,Spain,63.17,False
a5d26d,United States,58.65,False
4acb59,Sweden,185.36,False
a71264,United States,204.73,False
0d11cc,Mexico,223.11,False
a89efc,United States,48.57,False
a247c5,United States,98.31,False
44023f,Austria,227.59,False
a6f23d,United States,114.19,False
3c5ee7,Germany,226.27,False
80168c,India,225.43,False
3c5ee6,Germany,234.75,False
3c5ee5,Germany,240.24,False
3c5ee9,Germany,238.22,False
a9653d,United States,236.37,False
4bc8ce,Turkey,184.79,True
3455c1,Spain,215.52,False
c81d02,New Zealand,40.75,False
3c5ee3,Germany,62.15,False
ad41cd,United States,150.85,False
ad41ed,United States,230.44,False
3c5ef8,Germany,61.32,False
a15d0a,United States,223.73,False
3c5ef6,Germany,59.88,False
46b82a,Greece,238.83,False
a9787f,United States,57.89,False
3c5eeb,Germany,186.47,False
3c5eea,Germany,85.6,False
a3428e,United States,249.0,False
a5d28c,United States,71.12,False
a95234,United States,84.21,False
3c5ef0,Germany,140.26,False
3c5ef2,Germany,199.09,False
440219,Austria,165.97,False
a6aef6,United States,149.46,False
c81d26,New Zealand,52.9,False
a40d26,United States,108.59,False
46b832,Greece,75.42,False
46b830,Greece,209.5,False
46b833,Greece,69.14,False
aa801d,United States,75.65,False
44020a,Austria,255.91,False
a6188e,United States,38.41,False
a8eed8,United States,133.77,False
440209,Austria,217.91,False
ad8a80,United States,34.53,False
440202,Austria,10.29,True
a101c3,United States,202.56,False
a114f4,United States,5.92,True
a26a0d,United States,51.57,False
a72551,United States,164.75,False
a8584a,United States,206.98,False
a95212,United States,98.54,False
46b824,Greece,232.15,False
46b828,Greece,228.57,False
a72554,United States,2.57,True
46b826,Greece,224.51,False
aaf610,United States,79.07,False
aa099e,United States,271.09,False
aaf617,United States,215.11,False
44022d,Austria,58.79,False
44022b,Austria,97.45,False
a5d263,United States,71.47,False
a247df,United States,62.64,False
a8a82f,United States,222.01,False
47b0e7,Norway,256.76,False
a8320e,United States,197.21,False
a091c5,United States,218.15,False
a7bbb2,United States,91.8,True
a2ba48,United States,203.19,False
aa3d45,United States,46.66,False
8014a3,India,107.52,False
aa07f9,United States,1.54,False
5110c8,Estonia,119.18,False
a3ed69,United States,246.72,False
a88d01,United States,190.06,False
a4c4aa,United States,218.05,False
a00910,United States,84.84,False
a617e8,United States,199.67,False
a40d62,United States,130.8,False
885226,Thailand,272.68,False
a88d05,United States,227.13,False
885221,Thailand,221.81,False
885223,Thailand,266.44,False
a14a95,United States,50.04,False
a737c7,United States,231.29,False
a0090b,United States,69.63,False
e49eba,Brazil,230.3,False
a474bb,United States,48.37,False
c0481b,Canada,203.83,False
a63a0f,United States,0.06,True
c0481c,Canada,272.13,False
a40d59,United States,41.99,False
a52d5b,United States,77.73,False
a5f7d9,United States,37.17,False
a00929,United States,263.28,False
accd13,United States,269.41,False
393322,France,216.7,False
4aca81,Sweden,248.18,False
accd10,United States,252.32,False
a3a4ed,United States,282.86,False
4aca84,Sweden,158.54,False
4aca86,Sweden,221.87,False
4aca85,Sweden,265.58,False
4aca87,Sweden,265.99,False
8a047a,Indonesia,242.04,False
a474aa,United States,42.26,False
a724c3,United States,232.15,False
4aca89,Sweden,262.4,False
a64d4d,United States,242.99,False
accd18,United States,0.9,True
ab5d59,United States,165.83,False
a354e3,United States,39.1,False
e07583,Argentina,229.6,False
4aca7a,Sweden,186.26,False
e07582,Argentina,6.69,True
ab5d56,United States,44.5,False
ab5d4a,United States,207.2,False
a3ed7c,United States,242.45,False
84d283,Japan,254.94,False
a40d2d,United States,144.8,False
4aca92,Sweden,239.26,False
a0e1cf,United States,39.7,False
c81d8e,New Zealand,162.79,False
a3ed96,United States,169.57,False
