icao24,origin_country,velocity,on_ground
aa9f5c,United States,52.79,False
a09281,United States,68.0,False
7c35e7,Australia,174.62,False
c81bd2,New Zealand,56.86,False
7c6b2f,Australia,231.47,False
408121,United Kingdom,224.33,False
a808bb,United States,50.53,False
a53edd,United States,128.43,False
801642,India,242.56,False
ad19bc,United States,119.94,False
7c6b41,Australia,125.28,False
a0f57e,United States,58.65,False
842194,Japan,228.03,False
a3b87f,United States,203.93,False
a5953a,United States,54.78,False
801643,India,243.67,False
e49405,Brazil,232.75,False
a34230,United States,181.79,False
aa56d8,United States,186.49,False
a21b85,United States,31.25,False
a60541,United States,81.36,False
a34e6a,United States,226.92,False
aae312,United States,209.53,False
80163d,India,0.0,True
801649,India,225.99,False
801647,India,209.59,False
a3687e,United States,71.55,False
a41ef3,United States,118.91,False
a5820f,United States,51.1,False
4b1802,Switzerland,0.0,True
7c6b30,Australia,144.22,False
ac4963,United States,212.46,False
a9f06b,United States,53.11,False
7c1bc9,Australia,76.42,False
aa8c0e,United States,30.39,False
aae316,United States,2.06,True
a9039c,United States,226.88,False
a282e5,United States,196.45,False
7c6b37,Australia,6.94,True
4952ce,Portugal,92.62,False
7c6b36,Australia,224.38,False
4952cf,Portugal,51.08,False
a665c5,United States,92.61,False
acdfa3,United States,166.26,False
a72513,United States,7.37,False
a7d5a5,United States,47.65,False
a41ee6,United States,155.91,False
a4c54a,United States,45.17,False
7c35c6,Australia,0.0,True
80160a,India,199.28,False
ad3c16,United States,227.38,False
801616,India,245.48,False
7c6b0e,Australia,151.4,False
0d0c14,Mexico,162.59,False
aaa6e4,United States,268.38,False
a305e2,United States,1.29,True
a5955b,United States,192.79,False
c06a11,Canada,0.0,True
a0e22e,United States,187.43,False
ab76eb,United States,174.22,False
851914,Japan,246.18,False
ab63bc,United States,56.84,False
aaa6dd,United States,214.41,False
a6eb12,United States,144.53,False
4b181b,Switzerland,224.7,False
4b181c,Switzerland,0.06,True
a08b7c,United States,0.06,True
a5e550,United States,42.92,False
aa56b6,United States,0.0,True
aa56b8,United States,291.7,False
a46e40,United States,239.61,False
adb930,United States,70.45,False
ad5622,United States,238.1,False
80161c,India,249.63,False
ac231d,United States,77.48,False
aa56b4,United States,218.59,False
a23578,United States,55.41,False
ad5628,United States,178.43,False
a89eb9,United States,30.87,False
a0e250,United States,185.1,False
a33b23,United States,204.61,False
4b180c,Switzerland,0.06,True
a1025a,United States,269.19,False
440db0,Austria,150.13,False
a48850,United States,226.39,False
a2ded8,United States,207.12,False
a46e39,United States,56.41,False
ad694c,United States,213.0,False
ab63d7,United States,234.18,False
a46e35,United States,290.27,False
4952aa,Portugal,148.62,False
a545fc,United States,130.08,False
7c6b14,Australia,224.47,False
a2355d,United States,148.04,False
7c6b12,Australia,8.23,True
4952af,Portugal,243.08,False
80166a,India,240.71,False
a9b3f0,United States,153.01,False
a2d2fc,United States,48.38,False
4952b1,Portugal,74.32,False
ae6306,United States,221.32,False
e4943f,Brazil,226.16,False
7c7268,Australia,56.79,False
c822ec,New Zealand,118.34,False
7c6b84,Australia,53.85,False
801689,India,104.43,False
ab034d,United States,279.44,False
adffba,United States,182.06,False
a6a39e,United States,2.83,True
4bc8c7,Turkey,170.64,False
a7b057,United States,197.45,False
e49446,Brazil,174.35,False
e80258,Chile,232.01,False
a45b78,United States,70.76,False
abb3b6,United States,160.95,False
ab0361,United States,218.05,False
4bc8c1,Turkey,222.05,False
a2d2eb,United States,141.05,False
abf008,United States,179.43,False
abb3be,United States,151.84,False
ad563d,United States,204.27,False
3c6672,Germany,82.67,False
abb3c3,United States,39.31,False
ac83d5,United States,161.19,False
a34e9d,United States,280.01,False
a2226b,United States,58.36,False
a963f7,United States,185.49,False
a35592,United States,252.19,False
a39bfa,United States,196.66,False
47b217,Norway,254.6,False
acdffc,United States,291.28,False
ad90a3,United States,0.0,True
408143,United Kingdom,317.06,False
40812e,United Kingdom,216.46,False
ae13c6,United States,112.21,False
ae631e,United States,126.57,False
a4d849,United States,68.52,False
a34268,United States,172.06,False
44029f,Austria,178.35,False
abfc71,United States,191.27,False
e8026c,Chile,141.07,False
a3556f,United States,238.12,False
ad565a,United States,48.49,False
ae13b9,United States,82.29,False
a5e509,United States,35.51,False
ae13b6,United States,71.93,False
adffca,United States,194.27,False
a2e5ef,United States,67.72,False
a88075,United States,90.42,False
a53ee2,United States,191.27,False
a4c527,United States,0.0,True
aa0911,United States,119.46,False
e8027a,Chile,228.48,False
ae630a,United States,85.32,False
adda1e,United States,201.19,False
0d0aca,Mexico,82.67,False
a94b50,United States,272.92,False
ab5169,United States,71.61,False
a22da9,United States,266.77,False
abad94,United States,182.56,False
a17749,United States,56.49,False
adda32,United States,110.61,False
4acb43,Sweden,184.91,False
a02a0d,United States,57.11,False
a0a734,United States,230.22,False
e80212,Chile,244.8,False
a94b4b,United States,7.72,True
abfae5,United States,57.14,False
adda23,United States,240.77,False
4b187f,Switzerland,274.27,False
4bb5d6,Turkey,200.02,False
c082f2,Canada,56.59,False
3c65ad,Germany,258.2,False
c02e8f,Canada,174.29,False
aae1ea,United States,222.16,False
ae1445,United States,124.19,False
ae1447,United States,134.91,False
c082cb,Canada,232.15,False
4b1883,Switzerland,208.07,False
440248,Austria,123.62,False
aeaaaf,United States,55.06,False
4b1887,Switzerland,253.98,False
3455d5,Spain,226.15,False
ae0110,United States,149.23,False
a95250,United States,43.23,False
a5829d,United States,84.37,False
a83e86,United States,204.81,False
a0f4a2,United States,5.4,True
a6f23d,United States,208.14,False
a6eb93,United States,38.71,False
a8f5be,United States,158.98,False
861f5e,Japan,257.08,False
a9520b,United States,18.65,False
0d11e6,Mexico,167.14,False
acc13d,United States,80.76,False
a9653d,United States,141.09,False
4bc8ce,Turkey,251.37,False
4bc8cb,Turkey,247.45,False
e8021d,Chile,224.45,False
3c65d2,Germany,35.5,True
ab2916,United States,293.75,False
a5d27b,United States,67.76,False
a94b2b,United States,196.52,False
ad41cd,United States,100.05,False
a45b96,United States,215.05,False
e8022a,Chile,217.76,False
0d0afd,Mexico,226.22,False
a127bb,United States,259.23,False
ace78f,United States,174.4,False
80169c,India,230.16,False
a5d28e,United States,216.79,False
a3428e,United States,98.01,False
c0226c,Canada,199.65,False
a5d28c,United States,269.64,False
a04424,United States,203.35,False
a8a87e,United States,275.34,False
3c65d9,Germany,155.69,False
a9a205,United States,242.77,False
e492cf,Brazil,226.78,False
a7d5ff,United States,60.65,False
478854,Norway,233.59,False
adda5e,United States,189.78,False
a0dac5,United States,87.47,False
a6eb1e,United States,156.94,False
a928f4,United States,102.33,False
a41412,United States,239.04,False
a94b0a,United States,210.59,False
a785dc,United States,92.6,False
adf46e,United States,61.44,False
851936,Japan,162.66,False
a1a110,United States,215.04,False
a091d6,United States,0.0,True
a6a2b1,United States,39.0,False
aab9c7,United States,54.84,False
aab9c4,United States,187.6,False
c82424,New Zealand,59.8,False
acd47e,United States,174.66,False
a21ac8,United States,28.37,False
a52bfb,United States,216.16,False
ab1614,United States,49.16,False
ac491d,United States,69.53,False
a101c3,United States,214.01,False
a808ed,United States,206.5,False
a94b29,United States,1.8,True
a234cb,United States,88.0,False
a8584a,United States,172.5,False
aa9f97,United States,200.76,False
861f00,Japan,7.2,True
adf45f,United States,176.87,False
46b822,Greece,257.32,False
c81d32,New Zealand,51.45,False
46b828,Greece,142.44,False
a71e5c,United States,75.24,False
a2e738,United States,29.0,False
a915cf,United States,104.43,False
a15135,United States,76.22,False
aa099e,United States,230.72,False
440237,Austria,148.42,False
a0f4b5,United States,91.23,False
867fac,Japan,245.98,False
a28423,United States,103.64,False
ab1628,United States,213.01,False
a04453,United States,50.63,False
ab6fbf,United States,98.73,False
abd9b5,United States,208.48,False
e492fe,Brazil,202.64,False
c02e94,Canada,185.49,False
aaf617,United States,168.13,False
a247f0,United States,149.63,False
a57b8b,United States,60.52,False
0d11b0,Mexico,4.89,True
aa43c4,United States,182.64,False
a69b86,United States,202.88,False
aa56f8,United States,207.59,False
c81119,New Zealand,80.05,False
a69b87,United States,159.98,False
a04462,United States,39.67,False
a22dd3,United States,39.35,False
aaf60a,United States,213.15,False
a85887,United States,229.22,False
a39d11,United States,0.0,True
a1510b,United States,84.52,False
a08acb,United States,208.22,False
a1775f,United States,216.45,False
aa9f76,United States,149.19,False
ae149c,United States,115.99,False
a091fd,United States,278.09,False
a41458,United States,116.03,False
a2ba48,United States,119.91,False
ab6418,United States,64.44,False
ae629a,United States,130.12,False
c81122,New Zealand,43.07,False
7c7ccc,Australia,229.85,False
abc70e,United States,52.81,False
7c7cce,Australia,235.41,False
a45aaf,United States,3.09,True
a40d62,United States,138.06,False
ace718,United States,180.36,False
7c1c50,Australia,0.0,False
885221,Thailand,274.1,False
885223,Thailand,105.84,False
758378,Philippines,46.52,False
8014b3,India,142.94,False
aa4421,United States,44.82,False
ab774b,United States,212.17,False
c0481c,Canada,264.87,False
7c7cc2,Australia,58.87,False
ad0725,United States,196.23,False
a40d59,United States,42.7,False
a2d446,United States,62.68,False
a2cd61,United States,61.48,False
c8244b,New Zealand,107.29,False
861e9a,Japan,181.07,False
a5f7d9,United States,27.28,False
a00929,United States,198.62,False
a0dae2,United States,281.77,False
abc748,United States,5.4,True
a02a79,United States,180.08,False
accd13,United States,263.26,False
a39113,United States,0.0,True
ad072a,United States,136.56,False
a63a1a,United States,57.95,False
a3a4ed,United States,210.39,False
accd10,United States,267.29,False
ad072c,United States,201.74,False
ad67bf,United States,54.09,False
ab5d52,United States,257.96,False
a2c110,United States,23.65,False
a354e0,United States,75.69,False
e07584,Argentina,196.19,False
a354e3,United States,42.93,False
4aca7a,Sweden,203.89,False
800da3,India,218.24,False
a91700,United States,180.03,False
c81d82,New Zealand,146.8,False
a091ec,United States,0.0,True
a1a116,United States,48.23,False
abc759,United States,64.11,False
a1b449,United States,252.66,False
a65454,United States,196.23,False
a5f7dc,United States,202.75,False
7c3631,Australia,71.33,False
c81d8e,New Zealand,222.26,False
c02e39,Canada,86.05,False
