icao24,origin_country,velocity,on_ground
4aca85,Sweden,244.09,False
a1ad73,United States,219.47,False
4aca87,Sweden,244.94,False
accd18,United States,241.26,False
a091f3,United States,196.44,False
a354e0,United States,93.88,False
a354e3,United States,45.93,False
4aca7a,Sweden,154.38,False
a3ed7c,United States,204.07,False
ab14d9,United States,180.47,False
a724bd,United States,309.35,False
c02207,Canada,187.36,False
4aca90,Sweden,4.63,True
a091ed,United States,220.01,False
4aca95,Sweden,223.91,False
ad67ae,United States,3.86,True
4aca96,Sweden,74.72,False
c81d8e,New Zealand,81.81,False
4aca99,Sweden,224.65,False
4aca98,Sweden,220.04,False
a234ef,United States,204.36,False
c0483e,Canada,184.58,False
4aca8d,Sweden,222.9,False
4aca8c,Sweden,237.2,False
4aca8e,Sweden,9.26,True
a6f28c,United States,132.27,False
a9526f,United States,199.01,False
a52d19,United States,44.32,False
a0093e,United States,175.55,False
e49eed,Brazil,244.19,False
ad9d42,United States,45.13,False
c81d9d,New Zealand,219.37,False
a3b7d1,United States,263.84,False
ac34bf,United States,190.03,False
e49ef3,Brazil,71.83,False
344487,Spain,234.94,False
4520ce,Bulgaria,228.29,False
7c1c95,Australia,150.46,False
a9527f,United States,108.55,False
a3ed1c,United States,257.28,False
ab5d80,United States,209.83,False
a40d8f,United States,156.71,False
e0b255,Argentina,204.96,False
4400ec,Austria,246.45,False
4520d2,Bulgaria,138.21,False
aa929c,United States,280.98,False
a39d9b,United States,264.97,False
471f9a,Hungary,224.42,False
471f9e,Hungary,233.54,False
8a043b,Indonesia,232.28,False
343141,Spain,228.72,False
e49eca,Brazil,244.64,False
471f81,Hungary,251.27,False
8a0449,Indonesia,238.71,False
a8dbf6,United States,66.72,False
a64d16,United States,0.06,True
471f6f,Hungary,191.71,False
acba1b,United States,234.59,False
471f6a,Hungary,186.16,False
471f6e,Hungary,220.59,False
471f6b,Hungary,213.57,False
a3da0d,United States,56.61,False
a2cd86,United States,171.75,False
a12921,United States,30.87,False
e48baa,Brazil,241.14,False
a39d95,United States,220.35,False
a40d6d,United States,161.83,False
a3ed58,United States,69.04,False
34444b,Spain,236.71,False
aa927a,United States,228.96,False
a26a81,United States,85.93,False
471f7a,Hungary,199.77,False
a474e8,United States,83.79,False
471f69,Hungary,8.23,True
471f66,Hungary,201.07,False
0d122c,Mexico,44.54,False
ae6229,United States,41.87,False
471f65,Hungary,239.38,False
471f62,Hungary,159.56,False
a4b1fe,United States,88.14,False
a00994,United States,138.39,False
a831d5,United States,84.47,False
4400c8,Austria,190.89,False
344445,Spain,233.77,False
ac358e,United States,190.76,False
c033de,Canada,69.88,False
471f77,Hungary,223.66,False
471f78,Hungary,152.71,False
a99a4a,United States,130.35,False
471f70,Hungary,217.12,False
a4fa9d,United States,45.39,False
aa2a7f,United States,195.85,False
ada546,United States,50.42,False
a08003,United States,34.25,False
aa91f5,United States,111.71,False
c033f6,Canada,222.67,False
a28fc4,United States,184.83,False
adfece,United States,0.26,True
a16ff1,United States,218.04,False
adfee0,United States,123.44,False
c07c70,Canada,99.02,False
471f5c,Hungary,222.06,False
471f5d,Hungary,228.33,False
aa2a83,United States,55.06,False
4400b2,Austria,239.42,False
ad4264,United States,62.11,False
