origin_country,total_flights,avg_velocity,on_ground
Afghanistan,1,214.3,0
Algeria,4,221.685,0
Argentina,18,163.12555555555554,1
Australia,157,139.81789808917196,35
Austria,119,167.1244537815126,10
Azerbaijan,3,174.23000000000002,0
Bahrain,10,195.35999999999999,0
Bangladesh,5,213.44400000000002,0
Belgium,35,206.2882857142857,2
Bolivia,1,222.77,0
Brazil,123,171.69707317073173,5
Brunei Darussalam,1,196.53,0
Bulgaria,14,216.26571428571427,0
Cambodia,1,260.12,0
Canada,451,139.68576496674058,70
Chile,18,173.90055555555557,2
China,119,217.94504201680672,7
Colombia,6,159.36833333333334,0
Costa Rica,1,132.88,0
Croatia,4,215.3325,0
Czech Republic,14,183.50499999999997,2
Côte d'Ivoire,1,251.22,0
Denmark,20,163.142,2
Dominican Republic,1,234.33,0
Egypt,15,230.23533333333336,0
Estonia,3,45.333333333333336,2
Ethiopia,14,193.8457142857143,1
Fiji,1,247.15,0
Finland,29,157.4444827586207,5
France,142,181.7119718309859,7
Georgia,3,98.55,2
Germany,178,163.04966292134833,18
Greece,31,173.57419354838711,1
Guatemala,6,21.38,2
Honduras,1,51.78,0
Hungary,50,204.38299999999998,1
Iceland,4,211.03,0
India,90,175.13622222222222,8
Indonesia,4,146.8125,1
Iraq,1,273.73,0
Ireland,256,191.1102734375,14
Islamic Republic of Iran,3,224.84,0
Israel,4,225.195,0
Italy,15,134.39066666666668,2
Japan,54,213.02648148148148,4
Jordan,5,157.296,0
Kazakhstan,1,267.33,0
Kenya,2,175.72,0
Kingdom of the Netherlands,93,184.6701075268817,5
Kuwait,3,261.7,0
Latvia,13,168.77769230769232,1
Lebanon,1,229.58,0
Lithuania,4,168.845,0
Luxembourg,16,202.41625,0
Malaysia,33,187.61030303030304,2
Maldives,2,60.97,0
Malta,145,189.63406896551723,10
Mauritania,3,88.31666666666666,0
Mauritius,1,259.07,0
Mexico,117,178.85376068376067,6
Monaco,1,77.09,0
Morocco,16,217.61625,0
Myanmar,1,186.33,1
Nepal,1,193.73,0
New Zealand,98,77.87948979591836,6
Nigeria,1,199.17,0
Norway,23,155.37652173913042,2
Oman,9,223.82222222222222,0
Pakistan,6,176.4,0
Panama,14,214.59642857142856,0
Philippines,24,183.55625,3
Poland,89,169.00629213483145,7
Portugal,43,185.68325581395348,2
Qatar,53,170.0266037735849,3
Republic of Korea,69,226.60159420289855,1
Republic of Moldova,4,174.84,0
Romania,8,204.75875,0
Russian Federation,29,127.30344827586208,1
Saint Vincent and the Grenadines,1,82.88,0
San Marino,2,137.39000000000001,0
Saudi Arabia,15,222.56133333333335,0
Serbia,18,174.17444444444445,2
Singapore,33,205.14969696969695,2
Slovakia,1,233.81,0
Slovenia,1,243.57,0
South Africa,2,102.63499999999999,1
Spain,164,183.05189024390242,9
Sri Lanka,4,257.7575,0
Sweden,51,187.04313725490198,6
Switzerland,84,149.56416666666667,18
Taiwan,32,200.908125,2
Thailand,51,232.65098039215687,1
Trinidad and Tobago,4,182.57,1
Tunisia,7,218.4485714285714,0
Turkey,158,179.8458227848101,4
Turkmenistan,1,152.31,0
Ukraine,4,193.57999999999998,0
United Arab Emirates,112,194.77669642857146,8
United Kingdom,332,188.83352409638556,21
United States,7860,128.31615296513107,474
Uzbekistan,6,193.78666666666666,0
Venezuela,1,124.01,0
Viet Nam,27,237.8022222222222,0
