origin_country,total_flights,avg_velocity,on_ground
Afghanistan,1,214.3,0
Algeria,4,223.0125,0
Argentina,18,163.12555555555554,1
Australia,159,137.7816352201258,38
Austria,119,167.03747899159663,11
Azerbaijan,3,174.61,0
Bahrain,10,195.40900000000002,0
Bangladesh,5,213.44400000000002,0
Belgium,35,207.7362857142857,2
Bolivia,1,222.77,0
Brazil,123,171.77845528455285,5
Brunei Darussalam,1,196.53,0
Bulgaria,14,216.33142857142857,0
Cambodia,1,260.12,0
Canada,448,140.51506696428572,67
Chile,18,174.13833333333332,2
China,119,217.70504201680674,7
Colombia,6,159.38166666666666,0
Costa Rica,1,134.03,0
Croatia,4,214.395,0
Czech Republic,14,187.09428571428572,1
Côte d'Ivoire,1,251.73,0
Denmark,20,163.95149999999998,2
Dominican Republic,1,234.33,0
Egypt,15,230.23266666666666,0
Estonia,3,46.160000000000004,2
Ethiopia,14,193.30785714285713,1
Fiji,1,247.15,0
Finland,29,157.46034482758623,5
France,142,181.2985915492958,9
Georgia,3,98.56666666666668,2
Germany,178,162.6017415730337,18
Greece,31,173.958064516129,1
Guatemala,6,21.38,2
Honduras,1,51.78,0
Hungary,50,204.6758,1
Iceland,4,211.03,0
India,90,175.57477777777777,8
Indonesia,5,165.64000000000001,1
Iraq,1,273.73,0
Ireland,255,191.2564705882353,14
Islamic Republic of Iran,3,223.1966666666667,0
Israel,4,225.195,0
Italy,15,132.692,2
Japan,54,212.5701851851852,4
Jordan,5,159.862,0
Kazakhstan,1,267.33,0
Kenya,2,175.77,0
Kingdom of the Netherlands,92,185.85913043478263,4
Kuwait,3,261.7633333333333,0
Latvia,13,159.01923076923077,2
Lebanon,1,229.58,0
Lithuania,4,168.845,0
Luxembourg,16,202.369375,0
Malaysia,33,187.9218181818182,2
Maldives,2,152.29000000000002,0
Malta,145,190.08158620689656,10
Mauritania,3,88.31666666666666,0
Mauritius,1,258.7,0
Mexico,116,181.56543103448277,6
Monaco,1,77.09,0
Morocco,16,217.58625,0
Myanmar,1,186.33,1
Nepal,1,193.73,0
New Zealand,97,78.72113402061855,6
Nigeria,1,199.17,0
Norway,23,156.00608695652173,2
Oman,9,223.84333333333336,0
Pakistan,6,176.4,0
Panama,14,214.31857142857143,0
Philippines,24,183.71875,2
Poland,89,169.29224719101123,7
Portugal,43,185.21581395348838,2
Qatar,53,170.04698113207547,3
Republic of Korea,69,227.20884057971014,1
Republic of Moldova,4,174.9775,0
Romania,8,204.8,0
Russian Federation,29,127.21448275862068,1
Saint Vincent and the Grenadines,1,82.88,0
San Marino,2,137.39000000000001,0
Saudi Arabia,15,223.09266666666664,0
Serbia,18,170.9561111111111,3
Singapore,33,204.91424242424242,2
Slovakia,1,233.81,0
Slovenia,1,243.28,0
South Africa,2,102.63499999999999,1
Spain,162,183.1758024691358,8
Sri Lanka,4,257.6425,0
Sweden,51,188.39960784313723,5
Switzerland,84,144.53642857142856,20
Taiwan,32,201.2203125,2
Thailand,51,232.92294117647057,1
Trinidad and Tobago,4,182.16,1
Tunisia,7,218.43142857142857,0
Turkey,158,179.64240506329114,4
Turkmenistan,1,152.31,0
Ukraine,4,193.57999999999998,0
United Arab Emirates,112,194.1442857142857,9
United Kingdom,331,188.4806344410876,21
United States,7851,128.24337579617836,482
Uzbekistan,6,193.78666666666666,0
Venezuela,1,124.01,0
Viet Nam,27,237.81814814814814,0
